PT08.S1(CO),T,RH,AH
1360,13.6,48.9,0.7578
1292,13.3,47.7,0.7255
1402,11.9,54.0,0.7502
1376,11.0,60.0,0.7867
1272,11.2,59.6,0.7888
1197,11.2,59.2,0.7848
1185,11.3,56.8,0.7603
1136,10.7,60.0,0.7702
1094,10.7,59.7,0.7648
1010,10.3,60.2,0.7517
1011,10.1,60.5,0.7465
1066,11.0,56.2,0.7366
1052,10.5,58.1,0.7353
1144,10.2,59.6,0.7417
1333,10.8,57.4,0.7408
1351,10.5,60.6,0.7691
1233,10.8,58.4,0.7552
1179,10.5,57.9,0.7352
1236,9.5,66.8,0.7951
1286,8.3,76.4,0.8393
1371,8.0,81.1,0.8736
1310,8.3,79.8,0.8778
1292,9.7,71.2,0.8569
1383,9.8,67.6,0.8185
1581,10.3,64.2,0.8065
1776,9.7,69.3,0.8319
1640,9.6,67.8,0.8133
1313,9.1,64.0,0.7419
965,8.2,63.4,0.6905
913,8.2,60.8,0.6657
1080,8.3,58.5,0.6438
1044,7.7,59.7,0.6308
988,7.1,61.8,0.6276
889,7.0,62.3,0.6261
831,6.1,65.9,0.6248
847,6.3,65.0,0.6233
927,6.8,62.9,0.6234
1091,6.4,65.1,0.6316
1587,7.3,63.1,0.6499
1545,9.2,56.2,0.6561
1350,13.2,41.7,0.632
1263,14.3,38.4,0.6243
1206,15.0,36.5,0.6195
1252,16.1,34.5,0.6262
1287,16.3,35.7,0.656
1353,15.8,37.0,0.661
1309,15.9,37.2,0.6657
1274,16.9,34.3,0.6549
1510,15.1,39.6,0.6766
1525,14.4,43.4,0.7084
1843,12.9,50.5,0.7478
1598,12.1,53.3,0.7536
1484,11.0,59.1,0.774
1677,9.7,64.6,0.7771
1280,9.5,64.1,0.7597
1196,9.1,63.9,0.7423
1184,8.8,63.9,0.7256
1172,7.8,67.5,0.7173
1147,7.0,71.1,0.7158
978,8.3,63.6,0.6982
1100,7.2,67.5,0.6887
1112,6.3,71.9,0.6932
1336,6.5,71.6,0.6945
1408,9.6,59.7,0.7124
1447,12.4,51.2,0.7335
1542,15.6,42.2,0.7451
1451,18.4,33.8,0.709
1328,19.4,31.3,0.695
1207,18.0,34.8,0.7127
1240,18.4,33.6,0.7042
1306,17.6,35.1,0.7012
1326,16.7,37.8,0.7117
1473,16.1,41.0,0.7451
1609,15.8,42.4,0.7569
1611,15.7,44.1,0.7786
1621,15.3,46.8,0.8091
1444,14.6,48.6,0.806
1418,14.7,49.3,0.8193
1534,13.9,53.6,0.8498
1484,14.6,51.5,0.8536
1367,12.5,58.9,0.8537
1344,11.6,63.4,0.8674
1130,12.1,61.1,0.8603
1062,11.5,63.1,0.8533
1076,11.6,62.2,0.8473
1028,10.4,67.6,0.853
1155,11.6,62.7,0.853
1235,12.4,60.0,0.8627
1332,14.5,53.1,0.8728
1445,16.9,46.1,0.8789
1416,19.3,38.3,0.8474
1281,21.2,31.4,0.7812
1207,21.4,30.2,0.7616
1258,21.9,29.0,0.7525
1458,22.2,28.4,0.7516
1438,21.3,30.8,0.7696
1478,19.7,36.7,0.8307
1808,18.4,41.7,0.8732
1898,17.6,46.1,0.921
1560,16.7,49.6,0.932
1324,16.3,51.0,0.9341
1349,14.7,55.9,0.9314
1239,14.8,54.7,0.9164
1239,14.0,57.0,0.9094
1224,13.4,61.3,0.9361
1078,12.6,63.5,0.923
1078,12.3,65.4,0.9351
1075,11.9,67.4,0.9375
1157,11.4,70.5,0.9475
1314,11.3,70.2,0.9401
1797,12.4,63.9,0.917
1961,14.8,54.3,0.9076
1771,17.4,45.6,0.8993
1564,19.8,38.5,0.8801
1430,22.0,34.1,0.8904
1417,23.3,32.2,0.9096
1400,23.9,30.0,0.8757
1317,24.4,28.9,0.8736
1318,24.4,29.4,0.8848
1445,23.8,31.3,0.9137
1917,22.5,35.4,0.9547
2040,20.4,42.5,1.0086
1895,18.3,52.6,1.0945
1595,16.7,57.4,1.0786
1439,15.7,60.2,1.0654
1142,15.3,61.4,1.058
1304,14.1,65.7,1.0494
1074,14.8,60.6,1.0148
968,14.8,59.2,0.9879
929,13.6,62.1,0.9636
941,12.3,66.2,0.945
937,12.8,63.2,0.9283
1017,11.2,68.5,0.9081
1171,11.0,66.5,0.8705
1541,11.7,63.7,0.8719
1539,13.6,56.3,0.8743
1735,17.8,42.9,0.8672
1571,21.4,33.3,0.8417
1452,24.4,27.4,0.8231
1579,25.3,26.1,0.8264
1466,25.8,23.2,0.7589
1280,27.0,20.2,0.7094
1407,28.2,18.6,0.7014
1389,28.0,19.1,0.7098
1447,23.9,25.7,0.7519
1551,21.3,34.8,0.873
1474,20.4,36.7,0.8704
1800,19.0,41.3,0.9007
1379,17.9,45.9,0.9342
1201,16.7,48.9,0.9226
1205,15.5,52.9,0.9271
1072,15.5,51.9,0.9059
998,14.1,55.6,0.891
933,13.1,57.9,0.8666
883,12.7,57.9,0.8447
869,11.8,58.0,0.8026
891,11.9,57.4,0.7978
1173,9.9,65.2,0.7956
1587,11.1,60.2,0.7958
1852,14.1,50.0,0.802
1522,17.7,40.1,0.8048
1438,21.1,33.4,0.8265
1393,24.3,28.3,0.8471
1452,25.6,25.6,0.8254
1389,25.9,25.9,0.8503
1207,26.8,18.7,0.65
1365,29.3,15.8,0.6309
1247,28.5,14.9,0.5708
1557,25.9,16.0,0.5237
1973,23.1,26.5,0.7403
1975,20.5,38.2,0.9133
1795,19.1,42.6,0.9294
1444,17.2,44.1,0.8558
1488,16.0,50.9,0.9206
1371,14.8,53.9,0.9024
1161,14.3,55.4,0.8975
1064,14.8,52.1,0.8686
970,13.9,53.9,0.8501
954,11.6,61.9,0.8442
931,12.0,58.9,0.8233
938,10.9,62.1,0.8113
1166,10.6,63.3,0.8067
1643,11.5,60.0,0.8117
1934,14.3,50.6,0.8186
1617,17.8,40.5,0.821
1473,20.8,34.4,0.8365
1379,23.8,28.2,0.8219
1385,24.2,28.7,0.8515
1379,25.2,24.9,0.7829
1322,27.0,17.8,0.6275
1496,27.1,23.1,0.818
1409,25.8,23.9,0.7832
1513,23.0,26.8,0.7446
1667,20.7,31.1,0.7523
1667,18.6,36.2,0.7676
1430,16.0,48.4,0.8768
1333,14.5,57.8,0.9456
1262,13.1,64.2,0.9606
1287,12.0,69.7,0.9735
1134,11.9,71.1,0.9915
999,12.5,69.3,1.0029
961,12.5,67.5,0.9768
934,12.3,67.7,0.9665
913,12.5,66.8,0.962
969,12.3,66.3,0.9487
1182,12.4,64.9,0.9332
1740,13.0,61.6,0.9209
1819,13.6,58.8,0.912
1427,13.9,57.1,0.9032
1390,14.5,54.4,0.8917
1283,15.5,50.1,0.8744
1304,16.1,47.6,0.8655
1364,16.3,47.1,0.864
1410,16.4,47.5,0.8791
1476,16.1,50.2,0.9094
1522,16.0,50.7,0.9142
1442,15.8,50.3,0.8989
1469,15.5,50.6,0.884
1467,15.4,51.4,0.8956
1421,15.2,53.1,0.9117
1175,14.7,57.6,0.9573
1215,14.2,58.3,0.938
1127,13.8,57.9,0.9085
1090,13.9,55.9,0.8842
1017,13.9,55.6,0.8765
997,13.8,55.1,0.8666
945,13.8,54.6,0.8574
956,13.6,55.1,0.856
966,13.6,59.0,0.9129
1064,13.5,58.4,0.896
1300,13.8,58.0,0.9083
1348,14.6,53.1,0.8765
1425,15.0,52.3,0.8881
1474,15.4,52.1,0.9046
1490,16.3,50.0,0.9158
1495,17.1,47.9,0.9281
1376,19.0,42.9,0.937
1305,19.5,42.3,0.9476
1283,19.5,42.3,0.9493
1392,19.1,43.8,0.9556
1452,18.5,46.3,0.9744
1633,17.4,51.6,1.0159
1625,17.1,51.3,0.9914
1535,16.4,53.8,0.9964
1323,16.2,55.4,1.0132
1309,15.9,57.7,1.0356
1456,15.7,58.6,1.0396
1300,15.1,60.9,1.0398
1203,15.6,56.6,0.9951
1195,15.2,57.9,0.9941
1117,15.4,57.8,1.0021
1062,14.9,60.6,1.0196
947,14.5,63.0,1.0316
1065,14.2,66.2,1.063
1155,14.5,65.3,1.0704
1220,15.3,62.1,1.073
1301,16.3,59.0,1.0868
1279,18.9,49.6,1.07
1267,19.4,46.1,1.0249
1239,20.8,41.6,1.0091
1128,21.4,40.3,1.0126
1243,21.2,39.3,0.9791
1208,20.3,38.0,0.8942
1306,19.4,41.3,0.9206
1546,18.5,43.8,0.9252
1501,17.8,48.1,0.9689
1605,17.9,46.9,0.952
1316,17.4,49.1,0.9688
1195,17.0,51.7,0.9914
1211,16.4,55.1,1.0198
1161,16.1,60.0,1.0919
1095,15.8,60.5,1.0805
897,16.3,57.0,1.0491
842,16.9,53.9,1.0309
854,16.1,55.9,1.0153
845,16.5,53.9,1.0049
942,16.4,54.0,0.9979
1090,15.7,57.6,1.0195
1514,15.8,53.7,0.9571
1379,17.4,42.1,0.8281
1074,17.9,38.4,0.7793
1090,18.5,36.7,0.7764
1110,21.0,29.6,0.7263
1102,21.3,28.1,0.7067
1100,21.3,26.1,0.6539
1094,21.3,26.8,0.6681
1076,21.3,24.2,0.606
1152,20.2,28.5,0.6682
1407,17.0,43.1,0.8264
1438,15.6,47.4,0.8347
1425,15.3,47.4,0.8178
1279,14.5,49.7,0.8177
1132,13.9,52.0,0.8231
1006,14.5,49.4,0.8106
982,13.8,51.4,0.8071
969,14.0,51.3,0.8163
941,13.0,56.8,0.8444
892,11.0,70.0,0.9215
855,10.1,76.8,0.9483
834,8.8,80.5,0.9147
909,9.6,75.4,0.9004
1061,9.8,75.0,0.9093
1441,10.0,74.2,0.9117
1498,11.2,69.7,0.9232
1343,12.0,62.9,0.8803
1308,12.8,55.8,0.821
1209,13.1,54.8,0.8234
1310,13.8,53.4,0.8351
1171,16.0,42.4,0.7674
1112,14.1,49.8,0.7971
1132,12.0,61.1,0.8537
1225,13.6,54.6,0.8465
1065,13.7,49.5,0.7695
1236,11.7,57.1,0.7822
1309,11.5,58.2,0.7867
1089,12.6,54.2,0.7881
1000,12.0,54.9,0.7664
1041,11.0,61.4,0.8057
1045,11.1,62.2,0.8199
997,10.8,62.5,0.8082
948,11.3,60.0,0.8025
878,10.6,61.6,0.7856
908,10.2,62.7,0.7813
892,10.9,58.6,0.7628
954,10.8,57.2,0.7382
1045,10.4,59.2,0.7455
1383,11.0,57.3,0.7501
1597,11.2,56.9,0.7565
1318,12.1,54.9,0.7734
1138,15.1,44.3,0.7535
1098,15.6,40.6,0.7146
